File, FIRST_FIT, FIRST_FIT_SC, FIRST_FIT_DC, BEST_FIT, BEST_FIT_SC, BEST_FIT_DC, WORST_FIT, WORST_FIT_SC, WORST_FIT_DC, ALMOST_WORST_FIT, ALMOST_WORST_FIT_SC, ALMOST_WORST_FIT_DC
0.bpp, 1.6154, 3.9333, 2.8571, 1.6154, 3.9333, 2.8571, 2.8571, 3.9333, 2.8571, 2.8571, 2.8571, 2.8571
100.bpp, 3.0000, 3.0000, 4.6000, 3.0000, 3.0000, 4.6000, 3.0000, 3.0000, 4.6000, 4.6000, 4.6000, 4.6000
104.bpp, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000
11.bpp, 1.0000, 2.2500, 1.3448, 1.0000, 2.2500, 1.3448, 1.3448, 2.5152, 1.3448, 1.3448, 1.3448, 1.3448
110.bpp, 0.0270, 0.1750, 0.0270, 0.0270, 0.1750, 0.0270, 0.0270, 0.1750, 0.0270, 0.0270, 0.0270, 0.0270
117.bpp, 0.1786, 0.5312, 0.1786, 0.1786, 0.5312, 0.1786, 0.1786, 0.5312, 0.1786, 0.1786, 0.1786, 0.1786
119.bpp, 1.3333, 3.6000, 1.3333, 1.3333, 3.6000, 1.3333, 1.3333, 3.6000, 1.3333, 1.3333, 1.3333, 1.3333
135.bpp, 2.7500, 5.2222, 2.7500, 2.7500, 5.2222, 2.7500, 2.7500, 5.2222, 3.6400, 2.7500, 2.7500, 2.7500
14.bpp, 4.6000, 5.9375, 11.4091, 4.6000, 5.9375, 11.4091, 4.6000, 5.9375, 11.4091, 11.4091, 11.4091, 11.4091
141.bpp, 6.7500, 9.2000, 9.2000, 6.7500, 9.2000, 9.2000, 6.7500, 9.2000, 9.2000, 9.2000, 9.2000, 9.2000
143.bpp, 5.1538, 8.4667, 6.9286, 5.1538, 8.4667, 5.1538, 5.1538, 8.4667, 6.9286, 5.1538, 5.1538, 5.1538
145.bpp, 2.5000, 13.2500, 6.8000, 2.5000, 13.2500, 6.8000, 6.8000, 13.2500, 9.6667, 6.8000, 6.8000, 6.8000
151.bpp, 2.0000, 4.5000, 2.0000, 2.0000, 4.5000, 2.0000, 2.0000, 4.5000, 2.0000, 2.0000, 2.0000, 2.0000
168.bpp, 1.8077, 3.7000, 1.8077, 1.8077, 3.7000, 1.8077, 2.3333, 3.7000, 1.8077, 1.8077, 1.8077, 1.8077
17.bpp, 1.0500, 2.4091, 1.7619, 1.0500, 2.4091, 1.0500, 2.4091, 3.5417, 2.4091, 1.7619, 1.7619, 1.7619
173.bpp, 2.3000, 5.4167, 5.4167, 2.3000, 5.4167, 5.4167, 4.0000, 5.4167, 5.4167, 5.4167, 5.4167, 5.4167
178.bpp, 0.9091, 2.2143, 0.9091, 0.9091, 2.2143, 0.9091, 0.9091, 2.2143, 0.9091, 0.9091, 0.9091, 0.9091
179.bpp, 0.3125, 0.7222, 0.3125, 0.3125, 0.7222, 0.3125, 0.3125, 0.7222, 0.5294, 0.5294, 0.5294, 0.5294
18.bpp, 0.4000, 3.9333, 1.3636, 0.4000, 3.9333, 1.3636, 0.4000, 3.9333, 1.3636, 1.3636, 1.3636, 1.3636
184.bpp, 0.2571, 0.8049, 0.2571, 0.2571, 0.7250, 0.2571, 0.3611, 0.8049, 0.3611, 0.2571, 0.2571, 0.2571
194.bpp, 3.8571, 8.1000, 3.8571, 3.8571, 8.1000, 3.8571, 3.8571, 8.1000, 3.8571, 3.8571, 3.8571, 3.8571
197.bpp, 5.7917, 6.6000, 6.6000, 5.7917, 6.6000, 5.7917, 5.7917, 6.6000, 6.6000, 6.6000, 6.6000, 6.6000
202.bpp, 0.0000, 0.1579, 0.0000, 0.0000, 0.1579, 0.0000, 0.0000, 0.1579, 0.0000, 0.0000, 0.0000, 0.0000
208.bpp, 7.3750, 11.9000, 7.3750, 7.3750, 11.9000, 7.3750, 7.3750, 11.9000, 7.3750, 7.3750, 7.3750, 7.3750
210.bpp, 7.1429, 12.0000, 7.1429, 7.1429, 12.0000, 3.5000, 7.1429, 12.0000, 7.1429, 3.5000, 3.5000, 3.5000
215.bpp, 1.6667, 3.0000, 0.7500, 1.6667, 3.0000, 0.7500, 1.6667, 3.0000, 1.6667, 0.7500, 0.7500, 0.7500
223.bpp, 1.5172, 2.0645, 1.5172, 1.5172, 2.0645, 1.5172, 1.8000, 2.0645, 1.8000, 1.5172, 1.5172, 1.5172
226.bpp, 2.3333, 7.9286, 2.3333, 2.3333, 7.9286, 2.3333, 3.9000, 7.9286, 3.9000, 2.3333, 2.3333, 2.3333
229.bpp, 0.6429, 1.8125, 0.6429, 0.6429, 1.8125, 0.6429, 0.6429, 1.8125, 0.6429, 0.6429, 0.6429, 0.6429
233.bpp, 5.9000, 8.0909, 14.9375, 5.9000, 8.0909, 14.9375, 5.9000, 8.0909, 14.9375, 14.9375, 14.9375, 14.9375
237.bpp, 5.5000, 16.0000, 5.5000, 5.5000, 16.0000, 5.5000, 5.5000, 16.0000, 5.5000, 5.5000, 5.5000, 5.5000
239.bpp, 0.4000, 1.1667, 0.4000, 0.4000, 1.1667, 0.4000, 0.4000, 1.1667, 0.4000, 0.4000, 0.4000, 0.4000
240.bpp, 1.6667, 3.7273, 2.8000, 1.6667, 3.7273, 2.8000, 1.6667, 3.7273, 2.8000, 2.8000, 2.8000, 2.8000
244.bpp, 0.3103, 0.7500, 0.3103, 0.3103, 0.7500, 0.1429, 0.4667, 0.7500, 0.4667, 0.1429, 0.1429, 0.1429
246.bpp, 4.5263, 5.4500, 10.4643, 4.5263, 5.4500, 10.4643, 4.5263, 5.4500, 10.4643, 10.4643, 10.4643, 10.4643
255.bpp, 1.6250, 7.0833, 1.6250, 1.6250, 7.0833, 1.6250, 1.6250, 7.0833, 1.6250, 1.6250, 1.6250, 1.6250
256.bpp, 2.0667, 5.0556, 2.0667, 2.0667, 5.0556, 2.0667, 4.1765, 5.0556, 4.1765, 3.1875, 3.1875, 3.1875
261.bpp, 0.3478, 1.9259, 0.3478, 0.3478, 1.9259, 0.7917, 1.2000, 1.9259, 0.7917, 0.7917, 0.7917, 0.7917
262.bpp, 0.6111, 1.9524, 0.6111, 0.6111, 1.9524, 0.6111, 1.1053, 1.9524, 1.1053, 0.6111, 0.6111, 0.6111
264.bpp, 4.2143, 5.8000, 13.5217, 4.2143, 5.8000, 13.5217, 4.2143, 5.8000, 13.5217, 13.5217, 13.5217, 13.5217
292.bpp, 0.0500, 0.2273, 0.0500, 0.0500, 0.2273, 0.0500, 0.0500, 0.2273, 0.0500, 0.0500, 0.0500, 0.0500
294.bpp, 1.3846, 4.3125, 1.3846, 1.3846, 4.3125, 1.3846, 2.5000, 4.3125, 2.5000, 1.3846, 1.3846, 1.3846
307.bpp, 4.9091, 10.0714, 4.9091, 4.9091, 10.0714, 4.9091, 4.9091, 10.0714, 6.9167, 4.9091, 4.9091, 4.9091
31.bpp, 3.1250, 7.0690, 3.1250, 2.1304, 7.0690, 2.1304, 4.0400, 7.0690, 4.0400, 3.1250, 3.1250, 3.1250
310.bpp, 0.3889, 0.8500, 0.3889, 0.3889, 0.8500, 0.3889, 0.3889, 0.8500, 0.3889, 0.3889, 0.3889, 0.3889
311.bpp, 2.5000, 7.4286, 6.3333, 2.5000, 7.4286, 6.3333, 2.5000, 7.4286, 6.3333, 6.3333, 6.3333, 6.3333
317.bpp, 0.4483, 0.9688, 0.4483, 0.4483, 0.8065, 0.4483, 0.6333, 0.9688, 0.6333, 0.4483, 0.4483, 0.4483
326.bpp, 1.4667, 4.5263, 1.4667, 1.4667, 4.5263, 1.4667, 2.3750, 4.5263, 2.3750, 1.4667, 1.4667, 1.4667
327.bpp, 3.3750, 5.4444, 4.4706, 3.3750, 4.4706, 3.3750, 4.4706, 5.4444, 4.4706, 3.3750, 3.3750, 3.3750
330.bpp, 0.4118, 1.2857, 0.4118, 0.4118, 1.2857, 0.4118, 0.4118, 1.2857, 0.4118, 0.4118, 0.4118, 0.4118
332.bpp, 21.0000, 25.5000, 21.0000, 21.0000, 25.5000, 21.0000, 21.0000, 25.5000, 21.0000, 21.0000, 21.0000, 21.0000
337.bpp, 4.1111, 10.0833, 4.1111, 4.1111, 10.0833, 4.1111, 4.1111, 10.0833, 4.1111, 4.1111, 4.1111, 4.1111
348.bpp, 0.6957, 1.0400, 0.6957, 0.6957, 1.0400, 0.6957, 0.6957, 1.0400, 0.6957, 0.6957, 0.6957, 0.6957
357.bpp, 11.0000, 11.5000, 11.0000, 11.0000, 11.5000, 11.0000, 11.0000, 11.5000, 11.0000, 11.0000, 11.0000, 11.0000
358.bpp, 2.0000, 5.3333, 2.0000, 2.0000, 5.3333, 2.0000, 2.0000, 5.3333, 3.2500, 2.0000, 2.0000, 2.0000
359.bpp, 1.2174, 2.4615, 1.2174, 1.2174, 2.4615, 1.2174, 1.2174, 2.4615, 1.2174, 1.2174, 1.2174, 1.2174
36.bpp, 18.0000, 20.0000, 18.0000, 18.0000, 20.0000, 18.0000, 18.0000, 20.0000, 18.0000, 18.0000, 18.0000, 18.0000
363.bpp, 2.6667, 13.6000, 9.5000, 2.6667, 13.6000, 9.5000, 2.6667, 13.6000, 9.5000, 9.5000, 9.5000, 9.5000
366.bpp, 1.0000, 3.3333, 2.4000, 1.0000, 3.3333, 2.4000, 1.0000, 3.3333, 2.4000, 2.4000, 2.4000, 2.4000
368.bpp, 3.6000, 7.3333, 3.6000, 3.6000, 7.3333, 3.6000, 3.6000, 7.3333, 3.6000, 3.6000, 3.6000, 3.6000
380.bpp, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000, 28.0000
385.bpp, 0.9412, 1.5789, 0.9412, 0.5625, 1.5789, 0.9412, 0.9412, 1.5789, 0.9412, 0.9412, 0.9412, 0.9412
394.bpp, 1.1111, 3.5833, 1.1111, 1.1111, 3.5833, 1.1111, 1.1111, 3.5833, 1.1111, 1.1111, 1.1111, 1.1111
401.bpp, 3.8947, 5.6190, 3.8947, 3.8947, 5.6190, 3.8947, 4.8000, 5.6190, 4.8000, 3.8947, 3.8947, 3.8947
409.bpp, 0.3077, 0.7931, 0.4815, 0.3077, 0.7931, 0.3077, 0.4815, 0.7931, 0.6429, 0.4815, 0.4815, 0.4815
41.bpp, 3.3333, 7.2222, 3.3333, 3.3333, 7.2222, 3.3333, 3.3333, 7.2222, 3.3333, 3.3333, 3.3333, 3.3333
410.bpp, 4.6000, 6.6667, 4.6000, 4.6000, 6.6667, 4.6000, 4.6000, 6.6667, 4.6000, 4.6000, 4.6000, 4.6000
433.bpp, 1.3158, 1.6500, 3.9032, 0.9444, 1.3158, 3.9032, 1.3158, 1.6500, 3.9032, 3.9032, 3.9032, 3.9032
438.bpp, 1.7692, 6.5000, 1.7692, 1.7692, 6.5000, 3.5714, 3.5714, 6.5000, 3.5714, 3.5714, 3.5714, 3.5714
441.bpp, 1.1500, 3.0870, 1.1500, 1.1500, 3.0870, 1.1500, 1.8571, 3.0870, 1.8571, 1.1500, 1.1500, 1.1500
443.bpp, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000, 11.0000
447.bpp, 2.3333, 5.0000, 2.3333, 2.3333, 5.0000, 2.3333, 2.3333, 5.0000, 2.3333, 2.3333, 2.3333, 2.3333
449.bpp, 0.3333, 0.7500, 0.3333, 0.3333, 0.7500, 0.3333, 0.3333, 0.7500, 0.3333, 0.3333, 0.3333, 0.3333
452.bpp, 3.8571, 12.2727, 3.8571, 3.8571, 12.2727, 3.8571, 3.8571, 12.2727, 3.8571, 3.8571, 3.8571, 3.8571
47.bpp, 0.5882, 1.8947, 1.8947, 0.5882, 1.8947, 1.8947, 1.2778, 1.8947, 2.4500, 1.8947, 1.8947, 1.8947
470.bpp, 2.0952, 5.2800, 3.0000, 2.0952, 5.2800, 2.0952, 3.8261, 5.9231, 3.8261, 3.8261, 3.8261, 3.8261
473.bpp, 2.1333, 5.0526, 2.1333, 2.1333, 5.0526, 1.1429, 2.1333, 5.0526, 2.1333, 2.1333, 2.1333, 2.1333
478.bpp, 0.5769, 1.2414, 0.5769, 0.5769, 1.2414, 0.5769, 0.8148, 1.2414, 1.0357, 0.5769, 0.5769, 0.5769
483.bpp, 2.0435, 2.5000, 6.0000, 1.5455, 2.0435, 6.0000, 2.0435, 2.5000, 6.0000, 6.0000, 6.0000, 6.0000
484.bpp, 0.5185, 1.0667, 0.7143, 0.5185, 1.0667, 0.5185, 0.7143, 1.0667, 0.8966, 0.7143, 0.7143, 0.7143
488.bpp, 2.0000, 5.6000, 3.5000, 2.0000, 5.6000, 3.5000, 2.0000, 5.6000, 3.5000, 3.5000, 3.5000, 3.5000
489.bpp, 1.0435, 2.2222, 1.0435, 1.0435, 2.2222, 1.0435, 1.3750, 2.2222, 1.3750, 1.0435, 1.0435, 1.0435
492.bpp, 4.0323, 5.7059, 4.6250, 4.0323, 4.6250, 4.6250, 5.1818, 6.2000, 5.1818, 5.1818, 5.1818, 5.1818
5.bpp, 3.0417, 5.8148, 4.0400, 3.0417, 5.8148, 4.0400, 3.0417, 5.8148, 4.0400, 4.0400, 4.0400, 4.0400
50.bpp, 3.8750, 10.1818, 3.8750, 3.8750, 10.1818, 3.8750, 3.8750, 11.5833, 3.8750, 3.8750, 3.8750, 3.8750
55.bpp, 2.2500, 6.8000, 2.2500, 2.2500, 6.8000, 2.2500, 2.2500, 6.8000, 2.2500, 2.2500, 2.2500, 2.2500
58.bpp, 2.1250, 4.7000, 2.1250, 2.1250, 4.7000, 2.1250, 2.1250, 4.7000, 2.1250, 2.1250, 2.1250, 2.1250
59.bpp, 1.4211, 3.6087, 1.4211, 1.4211, 3.6087, 2.0500, 2.0500, 3.6087, 2.6190, 2.0500, 2.0500, 2.0500
6.bpp, 1.3000, 2.9091, 8.5882, 1.3000, 2.9091, 8.5882, 2.9091, 4.2500, 8.5882, 8.5882, 8.5882, 8.5882
63.bpp, 1.7500, 10.0000, 5.6000, 1.7500, 10.0000, 5.6000, 1.7500, 10.0000, 5.6000, 5.6000, 5.6000, 5.6000
7.bpp, 3.0000, 6.3333, 3.0000, 3.0000, 6.3333, 3.0000, 3.0000, 6.3333, 3.0000, 3.0000, 3.0000, 3.0000
71.bpp, 0.0769, 0.4667, 0.0769, 0.0769, 0.4667, 0.0769, 0.0769, 0.4667, 0.1852, 0.0769, 0.0769, 0.0769
72.bpp, 0.7273, 2.1538, 0.7273, 0.7273, 2.1538, 0.7273, 0.7273, 2.1538, 1.5000, 0.7273, 0.7273, 0.7273
78.bpp, 2.6250, 8.4545, 6.9000, 2.6250, 8.4545, 6.9000, 2.6250, 8.4545, 6.9000, 6.9000, 6.9000, 6.9000
80.bpp, 3.4118, 5.7895, 3.4118, 3.4118, 5.7895, 3.4118, 3.4118, 5.7895, 4.6667, 3.4118, 3.4118, 3.4118
81.bpp, 2.0909, 3.7692, 3.0000, 2.0909, 3.7692, 3.0000, 2.0909, 3.7692, 3.0000, 3.0000, 3.0000, 3.0000
83.bpp, 3.0000, 3.5000, 3.0000, 3.0000, 3.5000, 3.0000, 3.0000, 3.5000, 3.0000, 3.0000, 3.0000, 3.0000
87.bpp, 1.1111, 3.5833, 1.1111, 1.1111, 3.5833, 1.1111, 2.1000, 3.5833, 2.1000, 1.1111, 1.1111, 1.1111
97.bpp, 1.0000, 2.5000, 1.0000, 0.3571, 2.8947, 0.3571, 1.0000, 2.5000, 1.0000, 0.3571, 0.3571, 0.3571
99.bpp, 2.8500, 5.7083, 1.9474, 1.9474, 5.7083, 1.9474, 3.6667, 5.7083, 2.8500, 2.8500, 2.8500, 2.8500